person,position,start_precision,start,end_precision,end
https://www.wikidata.org/wiki/Q716024,https://www.wikidata.org/wiki/Q10962705,2,01.01.1382,0,15.10.1413
https://www.wikidata.org/wiki/Q888016,https://www.wikidata.org/wiki/Q10962705,2,01.01.1413,2,01.01.1414
https://www.wikidata.org/wiki/Q581685,https://www.wikidata.org/wiki/Q10962705,2,01.01.1414,2,01.01.1429
https://www.wikidata.org/wiki/Q495619,https://www.wikidata.org/wiki/Q10962705,2,01.01.1429,2,01.01.1430
https://www.wikidata.org/wiki/Q342818,https://www.wikidata.org/wiki/Q10962705,2,01.01.1430,2,01.01.1433
https://www.wikidata.org/wiki/Q127112,https://www.wikidata.org/wiki/Q10962705,2,01.01.1433,2,01.01.1433
https://www.wikidata.org/wiki/Q147677,https://www.wikidata.org/wiki/Q10962705,0,28.06.1434,0,04.09.1468
https://www.wikidata.org/wiki/Q733163,https://www.wikidata.org/wiki/Q10962705,0,04.09.1468,0,17.11.1478
https://www.wikidata.org/wiki/Q713338,https://www.wikidata.org/wiki/Q10962705,0,24.07.1471,0,16.05.1494
https://www.wikidata.org/wiki/Q460332,https://www.wikidata.org/wiki/Q10962705,2,01.01.1494,0,04.11.1494
https://www.wikidata.org/wiki/Q324688,https://www.wikidata.org/wiki/Q39018,2,1.01.1494,0,31.07.1508
https://www.wikidata.org/wiki/Q324688,https://www.wikidata.org/wiki/Q10962705,2,01.01.1494,2,01.01.1508
https://www.wikidata.org/wiki/Q210713,https://www.wikidata.org/wiki/Q28541943,2,1.01.1414,0,23.07.1441
https://www.wikidata.org/wiki/Q210497,https://www.wikidata.org/wiki/Q42711589,0,01.08.1441,0,14.02.1451
https://www.wikidata.org/wiki/Q210717,https://www.wikidata.org/wiki/Q28541943,2,1.01.1451,2,1.01.1455
https://www.wikidata.org/wiki/Q210614,https://www.wikidata.org/wiki/Q28541943,2,1.01.1455,0,07.04.1479
https://www.wikidata.org/wiki/Q210630,https://www.wikidata.org/wiki/Q28541943,0,08.04.1479,0,27.09.1497
https://www.wikidata.org/wiki/Q210626,https://www.wikidata.org/wiki/Q42711589,2,01.01.1497,2,01.01.1508
https://www.wikidata.org/wiki/Q210626,https://www.wikidata.org/wiki/Q42711589,2,01.01.1516,2,01.01.1517
https://www.wikidata.org/wiki/Q307147,https://www.wikidata.org/wiki/Q43292,2,1.01.1394,2,1.01.1434
https://www.wikidata.org/wiki/Q376898,https://www.wikidata.org/wiki/Q887176,2,01.01.1440,2,01.01.1473
