person,position,start_precision,start,end_precision,end
https://www.wikidata.org/wiki/Q725222,https://www.wikidata.org/wiki/Q10962705,2,01.01.1597,0,10.03.1607
https://www.wikidata.org/wiki/Q515704,https://www.wikidata.org/wiki/Q27330121,0,01.07.1590,0,25.04.1605
https://www.wikidata.org/wiki/Q10061,https://www.wikidata.org/wiki/Q268218,0,15.07.1572,0,18.08.1620
https://www.wikidata.org/wiki/Q349440,https://www.wikidata.org/wiki/Q208233,0,17.12.1586,0,09.05.1611
https://www.wikidata.org/wiki/Q484359,https://www.wikidata.org/wiki/Q22304810,2,01.01.1567,2,01.01.1608
https://www.wikidata.org/wiki/Q8597,https://www.wikidata.org/wiki/Q15390704,0,03.03.1556,0,27.10.1605
https://www.wikidata.org/wiki/Q907317,https://www.wikidata.org/wiki/Q56230659,2,01.01.1589,2,01.01.1620
https://www.wikidata.org/wiki/Q153586,https://www.wikidata.org/wiki/Q1294765,0,04.04.1588,0,28.02.1648
https://www.wikidata.org/wiki/Q153586,https://www.wikidata.org/wiki/Q18341329,0,04.04.1588,0,28.02.1648
https://www.wikidata.org/wiki/Q7207,https://www.wikidata.org/wiki/Q12097,0,17.11.1558,0,24.03.1603
https://www.wikidata.org/wiki/Q7207,https://www.wikidata.org/wiki/Q18810062,0,27.11.1558,0,24.03.1603
https://www.wikidata.org/wiki/Q936976,https://www.wikidata.org/wiki/Q3439798,0,02.08.1589,0,14.05.1610
https://www.wikidata.org/wiki/Q936976,https://www.wikidata.org/wiki/Q29166132,0,19.06.1572,0,14.05.1610
https://www.wikidata.org/wiki/Q150586,https://www.wikidata.org/wiki/Q12097,0,12.10.1576,0,20.01.1612
https://www.wikidata.org/wiki/Q150586,https://www.wikidata.org/wiki/Q181765,0,12.10.1576,0,20.01.1612
https://www.wikidata.org/wiki/Q57206,https://www.wikidata.org/wiki/Q19827831,0,23.02.1623,0,24.10.1648
https://www.wikidata.org/wiki/Q57206,https://www.wikidata.org/wiki/Q23011565,0,15.10.1597,0,25.02.1623
https://www.wikidata.org/wiki/Q62160,https://www.wikidata.org/wiki/Q63375991,0,18.10.1590,0,31.03.1616
https://www.wikidata.org/wiki/Q62160,https://www.wikidata.org/wiki/Q63871039,0,18.10.1590,0,31.03.1616
https://www.wikidata.org/wiki/Q452580,https://www.wikidata.org/wiki/Q95688080,2,01.01.1587,2,01.01.1612
https://www.wikidata.org/wiki/Q544873,https://www.wikidata.org/wiki/Q477406,0,03.12.1592,0,05.03.1622
https://www.wikidata.org/wiki/Q34464,https://www.wikidata.org/wiki/Q835706,0,11.11.1584,0,13.09.1598
https://www.wikidata.org/wiki/Q34464,https://www.wikidata.org/wiki/Q1542521,0,13.09.1598,0,31.03.1621
https://www.wikidata.org/wiki/Q34464,https://www.wikidata.org/wiki/Q3847454,0,13.09.1598,0,14.04.1621
https://www.wikidata.org/wiki/Q34464,https://www.wikidata.org/wiki/Q58631963,2,01.01.1598,2,01.01.1621
https://www.wikidata.org/wiki/Q34464,https://www.wikidata.org/wiki/Q58637583,0,13.09.1598,0,31.03.1621
https://www.wikidata.org/wiki/Q34464,https://www.wikidata.org/wiki/Q58800860,0,13.09.1598,0,31.03.1621
https://www.wikidata.org/wiki/Q171465,https://www.wikidata.org/wiki/Q15315411,0,15.01.1595,0,22.12.1603
https://www.wikidata.org/wiki/Q170395,https://www.wikidata.org/wiki/Q19546,0,30.01.1592,0,03.03.1605
https://www.wikidata.org/wiki/Q52940,https://www.wikidata.org/wiki/Q1268572,0,17.11.1592,0,24.07.1599
https://www.wikidata.org/wiki/Q52940,https://www.wikidata.org/wiki/Q3273712,0,19.08.1587,0,19.04.1632
https://www.wikidata.org/wiki/Q170172,https://www.wikidata.org/wiki/Q44356,0,17.02.1598,0,13.04.1605
https://www.wikidata.org/wiki/Q79972,https://www.wikidata.org/wiki/Q18810062,0,03.04.1603,0,06.04.1625
https://www.wikidata.org/wiki/Q79972,https://www.wikidata.org/wiki/Q18810063,0,18.02.1587,0,06.04.1625
https://www.wikidata.org/wiki/Q79972,https://www.wikidata.org/wiki/Q18810066,0,03.04.1603,0,06.04.1625
https://www.wikidata.org/wiki/Q52939,https://www.wikidata.org/wiki/Q1268572,0,22.03.1604,0,30.10.1611
https://www.wikidata.org/wiki/Q164062,https://www.wikidata.org/wiki/Q549449,0,20.02.1618,0,23.04.1625
https://www.wikidata.org/wiki/Q164062,https://www.wikidata.org/wiki/Q66096255,0,14.11.1585,0,23.04.1625
https://www.wikidata.org/wiki/Q171349,https://www.wikidata.org/wiki/Q184299,0,01.10.1588,0,19.01.1629
