person,position,start_precision,start,end_precision,end
https://www.wikidata.org/wiki/Q311839,https://www.wikidata.org/wiki/Q4115925,0,09.10.1917,0,15.03.1922
https://www.wikidata.org/wiki/Q148524,https://www.wikidata.org/wiki/Q10962705,0,27.09.1916,0,02.04.1930
https://www.wikidata.org/wiki/Q41178,https://www.wikidata.org/wiki/Q10962705,0,02.04.1930,0,12.09.1974
https://www.wikidata.org/wiki/Q735400,https://www.wikidata.org/wiki/Q19161825,0,03.12.1930,0,03.01.1944
https://www.wikidata.org/wiki/Q269412,https://www.wikidata.org/wiki/Q116,2,01.01.1931,0,20.01.1936
https://www.wikidata.org/wiki/Q269412,https://www.wikidata.org/wiki/Q116,0,06.12.1922,0,20.01.1936
https://www.wikidata.org/wiki/Q269412,https://www.wikidata.org/wiki/Q12097,0,06.05.1910,0,06.12.1922
https://www.wikidata.org/wiki/Q269412,https://www.wikidata.org/wiki/Q5352166,0,06.05.1910,0,20.01.1936
https://www.wikidata.org/wiki/Q269412,https://www.wikidata.org/wiki/Q9134365,0,06.05.1910,0,20.01.1936
https://www.wikidata.org/wiki/Q269412,https://www.wikidata.org/wiki/Q14931511,2,01.01.1931,0,20.01.1936
https://www.wikidata.org/wiki/Q335091,https://www.wikidata.org/wiki/Q390776,0,21.06.1940,0,12.04.1946
https://www.wikidata.org/wiki/Q355610,https://www.wikidata.org/wiki/Q17323565,0,16.10.1929,0,08.11.1933
https://www.wikidata.org/wiki/Q16574,https://www.wikidata.org/wiki/Q887003,0,20.05.1948,0,21.01.1949
https://www.wikidata.org/wiki/Q16574,https://www.wikidata.org/wiki/Q887003,0,01.03.1950,0,05.04.1975
https://www.wikidata.org/wiki/Q16574,https://www.wikidata.org/wiki/Q10926886,0,10.10.1928,0,15.12.1931
https://www.wikidata.org/wiki/Q16574,https://www.wikidata.org/wiki/Q10926886,0,01.06.1943,0,20.05.1948
https://www.wikidata.org/wiki/Q34479,https://www.wikidata.org/wiki/Q208233,0,25.12.1926,0,07.01.1989
https://www.wikidata.org/wiki/Q34479,https://www.wikidata.org/wiki/Q1542521,0,25.12.1926,0,07.01.1989
https://www.wikidata.org/wiki/Q6683708,https://www.wikidata.org/wiki/Q756265,0,27.04.1930,0,02.07.1932
https://www.wikidata.org/wiki/Q888278,https://www.wikidata.org/wiki/Q28478447,0,09.10.1913,0,10.02.1932
https://www.wikidata.org/wiki/Q151509,https://www.wikidata.org/wiki/Q850168,0,15.01.1902,0,09.11.1953
https://www.wikidata.org/wiki/Q381928,https://www.wikidata.org/wiki/Q19700527,0,11.12.1911,0,07.11.1950
https://www.wikidata.org/wiki/Q381928,https://www.wikidata.org/wiki/Q19700527,0,18.02.1951,0,13.03.1955
https://www.wikidata.org/wiki/Q182921,https://www.wikidata.org/wiki/Q184299,0,15.12.1925,0,16.09.1941
https://www.wikidata.org/wiki/Q313124,https://www.wikidata.org/wiki/Q27330121,0,25.11.1925,0,02.03.1935
https://www.wikidata.org/wiki/Q5152,https://www.wikidata.org/wiki/Q1922067,0,29.10.1923,0,10.11.1938
https://www.wikidata.org/wiki/Q183297,https://www.wikidata.org/wiki/Q1922067,0,11.11.1938,0,22.05.1950
https://www.wikidata.org/wiki/Q163945,https://www.wikidata.org/wiki/Q26037668,2,01.01.1918,0,17.02.1948
https://www.wikidata.org/wiki/Q334198,https://www.wikidata.org/wiki/Q610669,0,08.10.1925,0,21.01.1931
https://www.wikidata.org/wiki/Q5464685,https://www.wikidata.org/wiki/Q455690,0,13.12.1924,0,08.02.1930
https://www.wikidata.org/wiki/Q5075473,https://www.wikidata.org/wiki/Q455690,0,19.03.1930,0,15.03.1935
https://www.wikidata.org/wiki/Q60699,https://www.wikidata.org/wiki/Q1625960,0,01.02.1925,0,01.09.1928
https://www.wikidata.org/wiki/Q60699,https://www.wikidata.org/wiki/Q6412197,0,01.09.1928,0,07.04.1939
https://www.wikidata.org/wiki/Q296064,https://www.wikidata.org/wiki/Q191954,0,13.06.1924,0,13.06.1931
https://www.wikidata.org/wiki/Q296064,https://www.wikidata.org/wiki/Q683337,0,13.06.1924,0,13.06.1931
https://www.wikidata.org/wiki/Q55008046,https://www.wikidata.org/wiki/Q13592862,0,23.12.1909,0,17.02.1934
https://www.wikidata.org/wiki/Q159585,https://www.wikidata.org/wiki/Q12298699,0,03.10.1918,0,28.08.1943
https://www.wikidata.org/wiki/Q78492,https://www.wikidata.org/wiki/Q15233311,0,14.11.1918,0,14.12.1935
https://www.wikidata.org/wiki/Q156617,https://www.wikidata.org/wiki/Q18341329,0,14.05.1912,0,20.04.1947
https://www.wikidata.org/wiki/Q156617,https://www.wikidata.org/wiki/Q65934921,0,01.12.1918,0,17.06.1944
https://www.wikidata.org/wiki/Q887019,https://www.wikidata.org/wiki/Q493018,0,09.07.1929,0,12.02.1931
https://www.wikidata.org/wiki/Q214009,https://www.wikidata.org/wiki/Q29558,0,02.03.1925,0,01.03.1931
https://www.wikidata.org/wiki/Q209441,https://www.wikidata.org/wiki/Q29558,0,01.03.1937,0,19.12.1940
https://www.wikidata.org/wiki/Q209439,https://www.wikidata.org/wiki/Q29558,0,01.03.1931,0,01.03.1937
https://www.wikidata.org/wiki/Q332096,https://www.wikidata.org/wiki/Q3409203,2,01.01.1929,2,01.01.1935
https://www.wikidata.org/wiki/Q117144,https://www.wikidata.org/wiki/Q16931742,0,01.03.1920,0,15.10.1944
https://www.wikidata.org/wiki/Q3161275,https://www.wikidata.org/wiki/Q2558541,0,01.02.1928,0,01.11.1932
https://www.wikidata.org/wiki/Q150642,https://www.wikidata.org/wiki/Q271148,0,29.07.1900,0,09.05.1946
https://www.wikidata.org/wiki/Q150642,https://www.wikidata.org/wiki/Q6412197,0,16.04.1939,0,08.09.1943
https://www.wikidata.org/wiki/Q150642,https://www.wikidata.org/wiki/Q10962705,0,09.05.1936,0,05.05.1941
https://www.wikidata.org/wiki/Q366054,https://www.wikidata.org/wiki/Q218014,0,08.04.1927,0,04.09.1930
https://www.wikidata.org/wiki/Q382253,https://www.wikidata.org/wiki/Q218014,0,09.04.1930,0,11.04.1936
https://www.wikidata.org/wiki/Q455890,https://www.wikidata.org/wiki/Q63415597,0,11.02.1929,0,25.07.1938
https://www.wikidata.org/wiki/Q296950,https://www.wikidata.org/wiki/Q878222,0,19.12.1926,0,15.06.1940
https://www.wikidata.org/wiki/Q296950,https://www.wikidata.org/wiki/Q878222,0,04.04.1919,0,19.04.1920
https://www.wikidata.org/wiki/Q155608,https://www.wikidata.org/wiki/Q3276071,0,14.01.1919,0,12.11.1964
https://www.wikidata.org/wiki/Q316543,https://www.wikidata.org/wiki/Q2457774,0,26.06.1922,0,09.05.1949
https://www.wikidata.org/wiki/Q150747,https://www.wikidata.org/wiki/Q2045066,0,23.11.1890,0,04.09.1948
https://www.wikidata.org/wiki/Q154927,https://www.wikidata.org/wiki/Q1294765,0,18.11.1905,0,21.09.1957
https://www.wikidata.org/wiki/Q310594,https://www.wikidata.org/wiki/Q1054799,0,04.06.1926,0,30.09.1939
https://www.wikidata.org/wiki/Q885,https://www.wikidata.org/wiki/Q6957347,0,14.11.1918,0,09.12.1922
https://www.wikidata.org/wiki/Q314022,https://www.wikidata.org/wiki/Q322459,0,16.11.1926,0,18.04.1951
https://www.wikidata.org/wiki/Q229828,https://www.wikidata.org/wiki/Q2355240,0,17.01.1938,0,19.03.1946
https://www.wikidata.org/wiki/Q229828,https://www.wikidata.org/wiki/Q61870366,0,30.12.1922,0,12.01.1938
https://www.wikidata.org/wiki/Q18363,https://www.wikidata.org/wiki/Q3847454,0,17.05.1902,0,14.04.1931
https://www.wikidata.org/wiki/Q18363,https://www.wikidata.org/wiki/Q58637583,0,17.05.1886,0,14.04.1931
https://www.wikidata.org/wiki/Q52890,https://www.wikidata.org/wiki/Q1268572,0,08.12.1907,0,29.10.1950
https://www.wikidata.org/wiki/Q115803,https://www.wikidata.org/wiki/Q688230,0,01.01.1934,0,31.12.1934
https://www.wikidata.org/wiki/Q42323,https://www.wikidata.org/wiki/Q19546,0,06.02.1922,0,10.02.1939
https://www.wikidata.org/wiki/Q2604,https://www.wikidata.org/wiki/Q19546,0,02.03.1939,0,09.10.1958
https://www.wikidata.org/wiki/Q207384,https://www.wikidata.org/wiki/Q100235719,0,16.08.1921,0,03.10.1929
https://www.wikidata.org/wiki/Q207384,https://www.wikidata.org/wiki/Q100235719,0,03.10.1929,0,09.10.1934
https://www.wikidata.org/wiki/Q603107,https://www.wikidata.org/wiki/Q390776,0,05.08.1926,0,04.04.1931
https://www.wikidata.org/wiki/Q603107,https://www.wikidata.org/wiki/Q641589,0,18.04.1931,0,18.04.1936
https://www.wikidata.org/wiki/Q732720,https://www.wikidata.org/wiki/Q27977064,0,08.05.1928,0,08.05.1932
https://www.wikidata.org/wiki/Q732720,https://www.wikidata.org/wiki/Q27977064,0,08.05.1906,0,08.05.1910
https://www.wikidata.org/wiki/Q365703,https://www.wikidata.org/wiki/Q1370482,0,20.05.1925,0,12.08.1933
https://www.wikidata.org/wiki/Q436482,https://www.wikidata.org/wiki/Q607982,0,24.07.1924,0,03.03.1930
https://www.wikidata.org/wiki/Q152474,https://www.wikidata.org/wiki/Q607982,0,16.08.1930,0,16.08.1938
https://www.wikidata.org/wiki/Q152474,https://www.wikidata.org/wiki/Q607982,0,18.05.1942,0,16.08.1952
https://www.wikidata.org/wiki/Q590543,https://www.wikidata.org/wiki/Q6085537,0,26.09.1926,0,02.01.1931
https://www.wikidata.org/wiki/Q886472,https://www.wikidata.org/wiki/Q3290543,0,15.05.1922,0,15.05.1930
https://www.wikidata.org/wiki/Q886478,https://www.wikidata.org/wiki/Q3290543,0,15.05.1930,0,18.11.1930
https://www.wikidata.org/wiki/Q886213,https://www.wikidata.org/wiki/Q3290543,0,18.11.1930,0,15.05.1941
https://www.wikidata.org/wiki/Q438437,https://www.wikidata.org/wiki/Q13341442,0,01.02.1929,0,01.02.1933
https://www.wikidata.org/wiki/Q438437,https://www.wikidata.org/wiki/Q13341442,0,16.09.1919,0,05.10.1919
https://www.wikidata.org/wiki/Q380982,https://www.wikidata.org/wiki/Q628004,0,01.12.1928,0,04.02.1930
https://www.wikidata.org/wiki/Q455683,https://www.wikidata.org/wiki/Q628004,0,05.02.1930,0,04.09.1932
https://www.wikidata.org/wiki/Q971540,https://www.wikidata.org/wiki/Q3238286,2,01.01.1928,2,01.01.1932
https://www.wikidata.org/wiki/Q727208,https://www.wikidata.org/wiki/Q852448,0,01.01.1929,0,01.01.1933
https://www.wikidata.org/wiki/Q35236,https://www.wikidata.org/wiki/Q11696,0,04.03.1929,0,04.03.1933
https://www.wikidata.org/wiki/Q35236,https://www.wikidata.org/wiki/Q1467287,0,06.11.1928,0,04.03.1929
https://www.wikidata.org/wiki/Q297134,https://www.wikidata.org/wiki/Q12969145,0,12.10.1916,0,12.10.1922
https://www.wikidata.org/wiki/Q297134,https://www.wikidata.org/wiki/Q12969145,0,12.10.1928,0,06.09.1930
https://www.wikidata.org/wiki/Q363555,https://www.wikidata.org/wiki/Q12969145,0,06.09.1930,0,19.02.1932
https://www.wikidata.org/wiki/Q886300,https://www.wikidata.org/wiki/Q373548,0,10.01.1926,0,28.05.1930
https://www.wikidata.org/wiki/Q374070,https://www.wikidata.org/wiki/Q373548,0,28.06.1930,0,05.03.1931
https://www.wikidata.org/wiki/Q311225,https://www.wikidata.org/wiki/Q5176750,0,15.11.1926,0,24.10.1930
https://www.wikidata.org/wiki/Q641113,https://www.wikidata.org/wiki/Q5176750,0,24.10.1930,0,03.11.1930
https://www.wikidata.org/wiki/Q156844,https://www.wikidata.org/wiki/Q5176750,0,03.11.1930,0,29.10.1945
https://www.wikidata.org/wiki/Q156844,https://www.wikidata.org/wiki/Q5176750,0,31.01.1951,0,24.08.1954
https://www.wikidata.org/wiki/Q579,https://www.wikidata.org/wiki/Q466956,0,21.07.1927,0,26.07.1931
https://www.wikidata.org/wiki/Q579,https://www.wikidata.org/wiki/Q466956,0,03.11.1952,0,03.11.1958
https://www.wikidata.org/wiki/Q2327452,https://www.wikidata.org/wiki/Q853475,0,07.08.1926,0,07.08.1930
https://www.wikidata.org/wiki/Q3054701,https://www.wikidata.org/wiki/Q853475,0,07.08.1930,0,07.08.1934
https://www.wikidata.org/wiki/Q2357083,https://www.wikidata.org/wiki/Q34071,0,27.01.1932,0,15.08.1932
https://www.wikidata.org/wiki/Q130968,https://www.wikidata.org/wiki/Q5708511,0,25.08.1930,0,27.08.1930
https://www.wikidata.org/wiki/Q128998,https://www.wikidata.org/wiki/Q5708511,0,08.12.1931,0,30.04.1933
https://www.wikidata.org/wiki/Q128998,https://www.wikidata.org/wiki/Q5708511,0,27.08.1930,0,01.03.1931
https://www.wikidata.org/wiki/Q2585486,https://www.wikidata.org/wiki/Q11942698,0,30.05.1929,0,13.06.1931
https://www.wikidata.org/wiki/Q298718,https://www.wikidata.org/wiki/Q19158914,0,05.05.1960,0,06.11.1982
https://www.wikidata.org/wiki/Q297812,https://www.wikidata.org/wiki/Q28003132,0,11.08.1960,0,13.04.1975
https://www.wikidata.org/wiki/Q764381,https://www.wikidata.org/wiki/Q30461,2,01.01.1993,2,01.01.2000
https://www.wikidata.org/wiki/Q559442,https://www.wikidata.org/wiki/Q3409199,0,15.08.1960,0,15.08.1963
https://www.wikidata.org/wiki/Q559442,https://www.wikidata.org/wiki/Q30149792,0,15.08.1960,0,15.08.1963
https://www.wikidata.org/wiki/Q206048,https://www.wikidata.org/wiki/Q3409199,0,01.07.1960,0,24.11.1965
https://www.wikidata.org/wiki/Q336242,https://www.wikidata.org/wiki/Q84342674,0,07.05.1970,0,07.05.1972
https://www.wikidata.org/wiki/Q336242,https://www.wikidata.org/wiki/Q84342674,0,01.08.1960,0,27.10.1963
https://www.wikidata.org/wiki/Q299629,https://www.wikidata.org/wiki/Q19109718,0,12.02.1961,0,28.11.1967
https://www.wikidata.org/wiki/Q299629,https://www.wikidata.org/wiki/Q19109718,0,19.02.1964,0,27.11.1967
https://www.wikidata.org/wiki/Q299629,https://www.wikidata.org/wiki/Q19109718,0,17.08.1960,0,17.02.1964
https://www.wikidata.org/wiki/Q9682,https://www.wikidata.org/wiki/Q9134365,0,06.02.1952,0,по наст. время
https://www.wikidata.org/wiki/Q8620,https://www.wikidata.org/wiki/Q2672728,0,01.07.1960,0,24.02.1966
https://www.wikidata.org/wiki/Q155402,https://www.wikidata.org/wiki/Q28015517,2,01.01.1958,0,26.03.1984
https://www.wikidata.org/wiki/Q214407,https://www.wikidata.org/wiki/Q3409195,0,03.11.1960,0,07.12.1993
https://www.wikidata.org/wiki/Q301707,https://www.wikidata.org/wiki/Q19161825,0,03.01.1944,0,23.07.1971
https://www.wikidata.org/wiki/Q116430,https://www.wikidata.org/wiki/Q12097,0,24.12.1951,0,01.09.1969
https://www.wikidata.org/wiki/Q315944,https://www.wikidata.org/wiki/Q19161338,0,01.05.1959,0,11.10.1972
https://www.wikidata.org/wiki/Q313240,https://www.wikidata.org/wiki/Q47006779,0,20.06.1960,0,19.11.1968
https://www.wikidata.org/wiki/Q345385,https://www.wikidata.org/wiki/Q28002551,0,28.11.1960,0,10.07.1978
https://www.wikidata.org/wiki/Q193874,https://www.wikidata.org/wiki/Q14566713,0,17.11.1927,0,20.08.1953
https://www.wikidata.org/wiki/Q193874,https://www.wikidata.org/wiki/Q14566713,0,16.11.1955,0,14.08.1957
https://www.wikidata.org/wiki/Q193874,https://www.wikidata.org/wiki/Q14566719,0,14.08.1957,0,26.02.1961
