person,position,start_precision,start,end_precision,end
https://www.wikidata.org/wiki/Q343733,https://www.wikidata.org/wiki/Q10962705,0,25.07.1799,0,24.03.1800
https://www.wikidata.org/wiki/Q1573956,https://www.wikidata.org/wiki/Q744514,2,1.01.1782,2,1.01.1814
https://www.wikidata.org/wiki/Q313806,https://www.wikidata.org/wiki/Q208233,0,01.01.1780,0,07.05.1817
https://www.wikidata.org/wiki/Q2714587,https://www.wikidata.org/wiki/Q19700527,0,08.03.1799,0,20.11.1816
https://www.wikidata.org/wiki/Q517,https://www.wikidata.org/wiki/Q5373953,0,12.07.1806,0,19.10.1813
https://www.wikidata.org/wiki/Q67049,https://www.wikidata.org/wiki/Q56856718,0,17.10.1789,0,05.05.1812
https://www.wikidata.org/wiki/Q469775,https://www.wikidata.org/wiki/Q41542585,2,1.01.1822,0,18.01.1870
https://www.wikidata.org/wiki/Q323582,https://www.wikidata.org/wiki/Q27513155,2,1.01.1830,0,по наст. время
https://www.wikidata.org/wiki/Q554933,https://www.wikidata.org/wiki/Q732562,0,01.04.1843,0,06.03.1845
https://www.wikidata.org/wiki/Q354678,https://www.wikidata.org/wiki/Q628004,0,01.01.1830,0,13.08.1832
https://www.wikidata.org/wiki/Q311436,https://www.wikidata.org/wiki/Q1425955,0,07.03.1835,0,03.02.1852
https://www.wikidata.org/wiki/Q467976,https://www.wikidata.org/wiki/Q4524807,0,06.11.1830,0,24.10.1834
https://www.wikidata.org/wiki/Q304900,https://www.wikidata.org/wiki/Q11942698,0,13.01.1830,0,20.01.1835
https://www.wikidata.org/wiki/Q312351,https://www.wikidata.org/wiki/Q208233,0,07.05.1817,0,21.02.1846
https://www.wikidata.org/wiki/Q7771,https://www.wikidata.org/wiki/Q3439814,0,09.08.1830,0,24.02.1848
https://www.wikidata.org/wiki/Q44361,https://www.wikidata.org/wiki/Q4389210,0,13.10.1825,0,20.03.1848
https://www.wikidata.org/wiki/Q2079957,https://www.wikidata.org/wiki/Q2045066,0,16.03.1815,0,07.10.1840
https://www.wikidata.org/wiki/Q310790,https://www.wikidata.org/wiki/Q51711012,0,11.07.1828,0,26.05.1834
https://www.wikidata.org/wiki/Q506193,https://www.wikidata.org/wiki/Q28478447,2,1.01.1806,2,1.01.1856
https://www.wikidata.org/wiki/Q262589,https://www.wikidata.org/wiki/Q10962705,0,11.02.1855,0,13.04.1868
https://www.wikidata.org/wiki/Q705143,https://www.wikidata.org/wiki/Q28471602,0,19.10.1856,0,07.10.1870
https://www.wikidata.org/wiki/Q299179,https://www.wikidata.org/wiki/Q208233,0,10.03.1846,0,30.01.1867
https://www.wikidata.org/wiki/Q888050,https://www.wikidata.org/wiki/Q28478447,2,1.01.1856,2,1.01.1866
https://www.wikidata.org/wiki/Q44530,https://www.wikidata.org/wiki/Q4389210,0,20.03.1848,0,10.03.1864
https://www.wikidata.org/wiki/Q77067,https://www.wikidata.org/wiki/Q87071077,0,27.05.1832,0,23.10.1862
https://www.wikidata.org/wiki/Q156048,https://www.wikidata.org/wiki/Q51711012,0,15.11.1853,0,11.11.1861
https://www.wikidata.org/wiki/Q150652,https://www.wikidata.org/wiki/Q501503,0,18.01.1871,0,09.03.1888
https://www.wikidata.org/wiki/Q440675,https://www.wikidata.org/wiki/Q27977064,0,14.08.1859,0,08.05.1863
